,,,,Precio,,,
,,,,Puntualidad,,,
,,,,"Calidad del
trabajo",,,
,,,,"Confianza /
Reputación",,,
,,,,"Disponibilidad
rápida",,,
,,,,Precio,$300.00,,
,,,,"Calidad del
trabajo",,,
,,,,Puntualidad,,,
,,,,"Confianza /
Reputación",,,
,,,,"Garantía del
servicio",,,
,,,,"Disponibilidad
rápida",,,
,,,,Puntualidad,$250.00,,
,,,,"Confianza /
Reputación",,,
,,,,"Disponibilidad
rápida",,,
,,,,Puntualidad,"$1,000.00",,
,,,,"Calidad del
trabajo",,,
,,,,"Garantía del
servicio",,,
